id,groups_id/id,login,password,name
,"base.group_erp_manager,base.group_configuration,base.group_partner_manager,base.group_user,olims.group_lab_managers,base.group_system,base.group_no_one",labmanager1@example.com,labman1,»Lab » Manager 1
,"base.group_erp_manager,base.group_configuration,base.group_partner_manager,base.group_user,olims.group_lab_managers,base.group_system,base.group_no_one",labmanager2@example.com,labman2,Lab Manager 2
,"base.group_partner_manager,base.group_user,olims.group_lab_clerks,base.group_no_one",labclerk1@example.com,labclerk1,Lab Clerk 1
,"olims.group_analyst,base.group_partner_manager,base.group_user,base.group_no_one",analyst1@example.com,analyst1,Lab Analyst 1
,"base.group_partner_manager,base.group_user,olims.group_samplers,base.group_no_one",sampler1@example.com,sampler1,Lab Sampler 1
,"olims.group_clients,base.group_partner_manager,base.group_user,base.group_no_one",mohale@example.com,ritamo,Rita Mohale
,"olims.group_clients,base.group_partner_manager,base.group_user,base.group_no_one",seemonster@example.com,sarelse,Ŝarel Seemonster
,"olims.group_clients,base.group_partner_manager,base.group_user,base.group_no_one",standard@example.com,neilst,Neil Ŝtandard
,"olims.group_clients,base.group_partner_manager,base.group_user,base.group_no_one",smith@example.com,johannasm,Johanna Smith
,"olims.group_clients,base.group_partner_manager,base.group_user,base.group_no_one",turner@example.com,fredtu,Fred Turner
,"olims.group_clients,base.group_partner_manager,base.group_user,base.group_no_one",ruffian@example.com,chrisru,Chris Ruffian
,"olims.group_clients,base.group_partner_manager,base.group_user,base.group_no_one",corbin@example.com,andreco,Andre Corbin 
